cert_no,company_name,city,state,website_url,website_quality,shop_size_class,specialization,aircraft_worked_on,software_mentioned,notes
28CR868B,Cal-Air Aviation Services Inc.,San Jose,CA,none,none,small,airframe/engine (limited),General aviation – light aircraft,none mentioned,"At KSJC (1277 Airport Blvd). Contact only via email (CALAIRAVIATION@YAHOO.COM). No website – strong website build prospect. Small shop."
unknown,Circle Air Group (formerly Jet Air),El Cajon,CA,https://www.circleag.com,professional,medium,"airframe/avionics/FBO","Light to medium jets/turboprops – broad GA",none mentioned,"Located at KSEE (Gillespie Field), San Diego area. Largest FAA Class III Part 145 in San Diego per AirNav. FBO+charter+MRO. Good ERP prospect."
unknown,High Performance Aircraft Inc.,El Cajon,CA,https://www.hpair.com,basic,small,airframe/maintenance,"GA/turboprop – broad",none mentioned,"At KSEE (Gillespie Field). FBO+maintenance+sales. 40,000 sq ft facility. Website appears dated/basic. Good website redesign prospect."
unknown,Coast Aviation,San Diego,CA,https://www.coastaircenter.com,professional,small,airframe – piston/light,Cirrus/Piper – factory authorized,none mentioned,"KMYF (San Diego) + Camarillo. Cirrus & Piper Factory Authorized. 25k sq ft SD / 15k sq ft CMA. Mid-quality website."
unknown,Instrument Overhaul Service of San Diego,San Diego,CA,https://www.instrumentoverhaul.com,basic,small,instruments/avionics (limited),All aircraft types – instruments,none mentioned,"FAA Certified since 1984. Instruments/pitot-static/custom panels. Website functional but very basic. Strong website + ERP prospect."
9PFR470B,Pacific Aircraft Maintenance,San Diego,CA,none,none,small,engine/instrument/radio,General aviation – piston/turboprop,none mentioned,"No public website found. FAA cert 9PFR470B. Limited instrument/powerplant/radio ratings. Strong website build prospect."
unknown,Threshold Aviation Group,Chino,CA,https://www.flytti.com,professional,medium,airframe/completions/interiors,"Business jets – broad (175k sq ft facility)",none mentioned,"At KCNO. 90+ employees. Largest independent MRO in Southern CA. Full heavy maintenance + completions + interior. ERP prospect – complex multi-department ops."
unknown,Executive Jet Maintenance (EJM),San Bernardino,CA,https://www.ejmmx.com,basic,medium,"airframe/avionics/paint","Business jets – broad",none mentioned,"At KSBD. Business jet specialist. Website basic. Near VNY/BUR market. Good ERP + website prospect."
unknown,AeroPro LLC,San Bernardino,CA,https://aeropro.us,professional,small,paint/interiors/mods,"VIP/military/government aircraft – all sizes",none mentioned,"At KSBD. AS9100 + Part 145 certified. Specializes in paint/interiors/modifications. Professional modern website. ERP/work-order tracking prospect."
unknown,West Coast Aviation Services,Santa Ana,CA,https://www.wcas.aero,professional,medium,airframe/engine,"Beechcraft King Air/Baron/Bonanza/Premier – Beechcraft ASC",none mentioned,"At KSNA + KLGB. Beechcraft Southern CA ASC. Williams TAP enrolled. 30k sq ft Long Beach. Est. 1996. ERP prospect – service center with multi-aircraft program tracking needs."
