cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
,Galvin Flying Service,,Seattle,WA,https://galvinflying.com,small,fbo-with-maintenance,"piston and light-turbine general aviation; Cessna 150/172",basic,no,"CLOSED November 2024; founded 1930 on Boeing Field (KBFI); was largest maintenance facility in Seattle for GA; FAA repair station; offered flight training/rental/charter/maintenance; website may still be up but business is defunct; not a viable prospect"
,Castle & Cooke Aviation,,Olympia,WA,https://www.castlecookeaviation.com,medium,fbo-premium,"corporate/business jets (FBO ground handling; Fortune 500 clients)",excellent,no,"Primary WA location is at Paine Field Everett (KPAE) not Olympia; also Van Nuys CA and Honolulu HI; Fortune 500 aviation services since 1981; FBO-focused rather than heavy MRO; maintenance/inspections/avionics offered at Everett; verify if Olympia location exists or if source data refers to Everett"
,Aviation Specialties Inc,,Renton,WA,,small,unverified,"aircraft accessories (assumed based on similar-named companies)",none,unknown,"Could not confirm a Part 145 repair station by this exact name in Renton WA; Aircraft Specialties Inc (different company) is a well-known accessory overhaul shop but not in Renton; may be a very small local shop or may have closed/renamed; needs FAA registry verification"
,Northwest Helicopters,,Olympia,WA,https://nwhelicopters.com,small,helicopter-specialist,"Bell UH-1H Huey; Bell helicopter family; turbine helicopters",professional,no,"Established 1978; 15-acre facility with 18 helipads; largest UH-1H inventory in private sector; Bell Authorized Service Facility; FAA Parts 133/135/137; FAA Certified Repair Station; FAA Type Certificate Holder UH-1H; DGAC TC Holder; USFS/OAS approved; component overhauls/parts/refurbishment/flight services; strong prospect for helicopter MRO software"
,AeroTEC,,Moses Lake,WA,https://aerotec.com,medium,test-engineering-mro,"commercial aircraft (narrowbody/widebody); cargo conversions; STC modifications; winglets; Wi-Fi/radar STCs",excellent,no,"Aerospace Testing Engineering & Certification; ~200 employees across Seattle/Moses Lake/Wichita; FAA Part 145 repair station; 3 hangars at Grant County Intl Airport including 85K sqft widebody MRO hangar; founded 2003; supports 100+ aircraft modification programs; engineering-driven rather than traditional MRO; may use specialized test/cert software already"
,Apex Aerospace,,Kent,WA,,micro,unverified,"unknown",none,unknown,"Could not confirm a Part 145 repair station by this exact name in Kent WA; Apex Aerospace Solutions (LinkedIn) is a parts distributor not MRO; Apex Aerospace (apexaerospace.org) is a STEM education nonprofit; Kent WA is in Boeing corridor so aerospace shops exist but this specific entity is unverified"
,Rainier Flight Service,,Renton,WA,https://rainierflightservice.com,small,fbo-with-maintenance,"Cessna 172/162 piston GA; light general aviation",basic,no,"FBO at Renton Municipal Airport (KRNT); primarily flight training school with aircraft rental and scenic flights; maintenance is secondary offering for own fleet and local GA; small operation; not a strong MRO software prospect"
,Clay Lacy Aviation,,Seattle,WA,https://www.claylacy.com,large,bizjet-mro-premium,"Gulfstream; Embraer Legacy/Praetor; Dassault Falcon; Bombardier; Textron business jets",excellent,yes,"Corridor customer per source data; EASA Part 145 certified; TCCA certified; sold Boeing Field (KBFI) Seattle operation Dec 2018; primary MRO locations now Van Nuys CA and Oxford CT; Seattle presence is charter/management only; 500+ employees company-wide; enterprise-class operation likely already using MRO software"
,Cascade Flyer,,Burlington,WA,https://www.flycascade.com,micro,flight-school,"Cessna piston trainer aircraft",basic,no,"Listed as Cascade Flyer but found as Cascade Aviation at Skagit Regional Airport (KBVS); 15290 Flightline Rd Burlington WA; flight and ground training since 2013; Port of Skagit tenant; no evidence of Part 145 repair station capability; primarily a flight school; not an MRO software prospect"
,Pacific Northwest Avionics,,Vancouver,WA,,micro,avionics-specialist,"avionics (types unknown)",none,unknown,"No web presence found for this specific company name in Vancouver WA; Pacific Coast Avionics (different company) is located near Portland OR; may be a very small sole-proprietor avionics shop or may have closed/renamed; needs FAA registry verification"
