audience,role_group,route,route_kind,category,page_file,primary_job,core_convex_modules,depends_on_domains,links_to_domains,status_layer,notes
internal,lead_technician|shop_manager|admin,/lead,page,Lead Center,app/(app)/lead/page.tsx,Operate lead assignment and turnover hub,leadTurnover|workOrders,Work Orders,Dashboard|OJT Training|Scheduling|Work Orders,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/kanban,page,Work Orders,app/(app)/work-orders/kanban/page.tsx,Visualize work order flow,workOrders,-,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/new,page,Work Orders,app/(app)/work-orders/new/page.tsx,Create a new work order,aircraft|billingV4|workOrders,Billing|Fleet,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/templates,page,Work Orders,app/(app)/work-orders/templates/page.tsx,Manage work order templates,gapFixes,Shared Workflow,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id,page,Work Orders,app/(app)/work-orders/[id]/page.tsx,Review record detail,customers|parts|stationConfig|timeClock|workOrders,Billing|Parts|Settings|Time Tracking,Billing|Fleet|Parts,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/tasks/new,page,Work Orders,app/(app)/work-orders/[id]/tasks/new/page.tsx,Create a task card inside a work order,gapFixes|taskCards|technicians|workOrders,Personnel|Shared Workflow,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/tasks/:cardId,page,Work Orders,app/(app)/work-orders/[id]/tasks/[cardId]/page.tsx,Execute and sign off a task card,discrepancies|documents|gapFixes|parts|taskCardVendorServices|taskCards|taskCompliance|technicians|timeClock|workItemEntries|workOrders,Documents|Findings|Parts|Personnel|Shared Workflow|Time Tracking,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/findings/:discrepancyId,page,Work Orders,app/(app)/work-orders/[id]/findings/[discrepancyId]/page.tsx,Review discrepancy detail,discrepancies|workItemEntries,Findings,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/records,page,Work Orders,app/(app)/work-orders/[id]/records/page.tsx,Review generated maintenance records,maintenanceRecords|returnToService,Compliance,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/rts,page,Work Orders,app/(app)/work-orders/[id]/rts/page.tsx,Review return-to-service evidence and output,documents|parts|returnToService,Compliance|Documents|Parts,Onboarding,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/release,page,Work Orders,app/(app)/work-orders/[id]/release/page.tsx,Release aircraft from maintenance,gapFixes|returnToService|workOrders,Compliance|Shared Workflow,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/certificates,page,Work Orders,app/(app)/work-orders/[id]/certificates/page.tsx,Review release certificates,releaseCertificates|workOrders,Compliance,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/execution,page,Work Orders,app/(app)/work-orders/[id]/execution/page.tsx,Manage execution board for a work order,workOrders,-,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/:id/signature,page,Work Orders,app/(app)/work-orders/[id]/signature/page.tsx,Capture work order signature state,workOrders,-,Personnel,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet,page,Fleet,app/(app)/fleet/page.tsx,Review fleet readiness and aircraft state,aircraft|billingV4|documents,Billing|Documents,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/calendar,page,Fleet,app/(app)/fleet/calendar/page.tsx,Review calendarized fleet events,fleetCalendar,-,Onboarding|Work Orders,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/predictions,page,Fleet,app/(app)/fleet/predictions/page.tsx,Review predictive maintenance signals,aircraft|predictions|workOrders,Work Orders,CRM|Onboarding|Personnel,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/llp,page,Fleet,app/(app)/fleet/llp/page.tsx,Review life-limited parts exposure,aircraft|parts,Parts,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/maintenance-programs,page,Fleet,app/(app)/fleet/maintenance-programs/page.tsx,Manage maintenance programs,maintenancePrograms,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/maintenance-programs/:id,page,Fleet,app/(app)/fleet/maintenance-programs/[id]/page.tsx,Review aircraft or program detail,aircraft|maintenancePrograms,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/:tail,page,Fleet,app/(app)/fleet/[tail]/page.tsx,Operate fleet workflow,aircraft|billingV4|gapFixes|workOrders,Billing|Shared Workflow|Work Orders,Billing|Work Orders,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/:tail/llp,page,Fleet,app/(app)/fleet/[tail]/llp/page.tsx,Review aircraft LLP detail,aircraft|parts,Parts,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/:tail/logbook,page,Fleet,app/(app)/fleet/[tail]/logbook/page.tsx,Review aircraft logbook detail,aircraft|maintenanceRecords,Compliance,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector|billing_manager|read_only,/fleet/:tail/adsb,page,Fleet,app/(app)/fleet/[tail]/adsb/page.tsx,Review aircraft ADS-B profile,aircraft,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,parts_clerk|lead_technician|technician|shop_manager,/parts,page,Parts,app/(app)/parts/page.tsx,Operate inventory and receiving overview,documents|gapFixes|inventoryAlerts|partTags|parts|technicians|workOrders,Documents|Personnel|Shared Workflow|Work Orders,Work Orders,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/new,page,Parts,app/(app)/parts/new/page.tsx,Create a new part record,parts,-,-,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/requests,page,Parts,app/(app)/parts/requests/page.tsx,Manage part requests,gapFixes|parts,Shared Workflow,Work Orders,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/receiving,page,Parts,app/(app)/parts/receiving/page.tsx,Perform receiving inspection,-,-,-,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/tools,page,Parts,app/(app)/parts/tools/page.tsx,Manage tool crib and calibration context,technicians|toolCrib|workOrders,Personnel|Work Orders,Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/cores,page,Parts,app/(app)/parts/cores/page.tsx,Track core returns,cores,-,Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/inventory-count,page,Parts,app/(app)/parts/inventory-count/page.tsx,Run physical inventory counts,physicalInventory,-,Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/shipping,page,Parts,app/(app)/parts/shipping/page.tsx,Manage inbound and outbound shipments,shipping,-,Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/rotables,page,Parts,app/(app)/parts/rotables/page.tsx,Track rotable lifecycle,rotables,-,Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/loaners,page,Parts,app/(app)/parts/loaners/page.tsx,Track loaner inventory,customers|loaners,Billing,Billing|Onboarding,live_route,-
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/alerts,page,Parts,app/(app)/parts/alerts/page.tsx,Review reorder and inventory alerts,inventoryAlerts,-,Billing|Onboarding,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/lots,page,Parts,app/(app)/parts/lots/page.tsx,Manage lots and batch traceability,lots|vendors,Billing,Onboarding,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/receiving/po,page,Parts,app/(app)/parts/receiving/po/page.tsx,Receive purchase order line items,poReceiving|vendors,Billing,Billing,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/warehouse,page,Parts,app/(app)/parts/warehouse/page.tsx,Manage warehouse locations,warehouseLocations,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,parts_clerk|lead_technician|technician|shop_manager,/parts/tags,page,Parts,app/(app)/parts/tags/page.tsx,Manage part tags and taxonomy,partTags,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,lead_technician|technician|qcm_inspector|shop_manager,/findings,page,Findings,app/(app)/findings/page.tsx,Review and triage discrepancies,discrepancies,-,Onboarding|Work Orders,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,lead_technician|technician|qcm_inspector|shop_manager,/squawks,redirect,Findings,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Alias redirect to /findings; preserves discrepancy terminology from older workflows. Navigate(to=/findings)
internal,shop_manager|admin,/personnel,page,Personnel,app/(app)/personnel/page.tsx,Manage personnel roster and status,-,-,-,live_route,-
internal,shop_manager|admin,/personnel/time-management,page,Personnel,app/(app)/personnel/time-management/page.tsx,Review technician time management,technicians|timeClock,Time Tracking,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|admin,/personnel/training,page,Personnel,app/(app)/personnel/training/page.tsx,Manage training status,ojt|technicianTraining|technicians|training,OJT Training,OJT Training,live_route,-
internal,shop_manager|admin,/personnel/:id/training,page,Personnel,app/(app)/personnel/[id]/training/page.tsx,Operate personnel workflow,technicianTraining|technicians,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|qcm_inspector|admin,/training/ojt,page,OJT Training,app/(app)/training/ojt/page.tsx,Manage OJT curricula,ojt,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|qcm_inspector|admin,/training/ojt/:curriculumId,page,OJT Training,app/(app)/training/ojt/[curriculumId]/page.tsx,Operate ojt training workflow,ojt,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|qcm_inspector|admin,/training/ojt/jackets/:jacketId,page,OJT Training,app/(app)/training/ojt/jackets/[jacketId]/page.tsx,Operate ojt training workflow,ojt|ojtAuthorizations|technicians,Personnel,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|qcm_inspector|admin,/training/ojt/jackets,page,OJT Training,app/(app)/training/ojt/jackets/page.tsx,Review OJT jackets,ojt|technicians,Personnel,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|qcm_inspector|admin,/training/ojt/roster,page,OJT Training,app/(app)/training/ojt/roster/page.tsx,Manage OJT enrollment roster,ojtEnrollment|technicians,Personnel,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,technician|lead_technician,/my-work,page,My Work,app/(app)/my-work/page.tsx,Execute assigned task cards,taskCards,Work Orders,Personnel|Work Orders,live_route,-
internal,technician|lead_technician,/my-work/time,page,My Work,app/(app)/my-work/time/page.tsx,Review personal labor capture,taskCards|timeClock|workOrders,Time Tracking|Work Orders,Personnel,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,qcm_inspector|shop_manager|admin,/compliance,page,Compliance,app/(app)/compliance/page.tsx,Review compliance hub status,adCompliance|aircraft,Fleet,Fleet|Onboarding,live_route,-
internal,qcm_inspector|shop_manager|admin,/compliance/qcm-review,page,Compliance,app/(app)/compliance/qcm-review/page.tsx,Run QCM review workflow,gapFixes|maintenanceRecords|workOrders,Shared Workflow|Work Orders,Onboarding|Work Orders,live_route,-
internal,qcm_inspector|shop_manager|admin,/compliance/audit-trail,page,Compliance,app/(app)/compliance/audit-trail/page.tsx,Inspect compliance audit trail,adCompliance|aircraft,Fleet,Onboarding,live_route,-
internal,qcm_inspector|shop_manager|admin,/compliance/ad-sb,page,Compliance,app/(app)/compliance/ad-sb/page.tsx,Manage AD and SB compliance,adCompliance|aircraft,Fleet,Fleet|Onboarding,live_route,-
internal,qcm_inspector|shop_manager|admin,/compliance/audit-readiness,page,Compliance,app/(app)/compliance/audit-readiness/page.tsx,Assess audit readiness gaps,adCompliance|aircraft|discrepancies|gapFixes|stationConfig|technicians|toolCrib|training|workOrders,Findings|Fleet|Parts|Personnel|Settings|Shared Workflow|Work Orders,Findings|OJT Training|Onboarding|Parts|Personnel|Settings,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,qcm_inspector|shop_manager|admin,/compliance/diamond-award,page,Compliance,app/(app)/compliance/diamond-award/page.tsx,Track Diamond Award training status,ojt|technicians|training,OJT Training|Personnel,Onboarding,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,qcm_inspector|shop_manager|admin,/compliance/certificates,redirect,Compliance,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Redirects to /compliance/audit-trail; certificates concept exists but lands inside audit tooling. Navigate(to=/compliance/audit-trail)
internal,billing_manager|shop_manager|admin,/billing,redirect,Billing,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Router-only redirect to /billing/customers; useful umbrella alias but not a standalone page. Navigate(to=/billing/customers)
internal,billing_manager|shop_manager|admin,/billing/customers,page,Billing,app/(app)/billing/customers/page.tsx,Manage customer accounts,billingV4,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/customers/:id,page,Billing,app/(app)/billing/customers/[id]/page.tsx,Review record detail,billingV4,-,Fleet|Sales|Work Orders,live_route,-
internal,billing_manager|shop_manager|admin,/billing/invoices,page,Billing,app/(app)/billing/invoices/page.tsx,Manage invoice queue,billing|billingV4b|customers|technicians,Personnel,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/invoices/new,page,Billing,app/(app)/billing/invoices/new/page.tsx,Operate billing workflow,billing|billingV4|customers|gapFixes|workOrders,Shared Workflow|Work Orders,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/invoices/:id,page,Billing,app/(app)/billing/invoices/[id]/page.tsx,Review record detail,billing|billingV4|customers,-,-,live_route,-
internal,sales_rep|sales_manager|billing_manager|admin,/sales,redirect,Sales,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Navigate(to=/sales/dashboard)
internal,sales_rep|sales_manager|billing_manager|admin,/sales/dashboard,page,Sales,app/(app)/sales/dashboard/page.tsx,Review sales pipeline dashboard,billing|crm,Billing|CRM,CRM,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/ops,page,Sales,app/(app)/sales/ops/page.tsx,Coordinate sales operations,billing|customers|technicians,Billing|Personnel,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/training,page,Sales,app/(app)/sales/training/page.tsx,Review sales training content,-,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/quotes,page,Sales,app/(app)/billing/quotes/page.tsx,Operate sales workflow,-,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Sales quotes reuse billing quote page files. Sales route is backed by billing quote page files.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/quotes/new,page,Sales,app/(app)/billing/quotes/new/page.tsx,Operate sales workflow,-,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Sales quotes reuse billing quote page files. Sales route is backed by billing quote page files.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/quotes/templates,page,Sales,app/(app)/billing/quotes/templates/page.tsx,Operate sales workflow,quoteTemplates,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Sales quotes reuse billing quote page files. Sales route is backed by billing quote template page file under billing.
internal,sales_rep|sales_manager|billing_manager|admin,/sales/quotes/:id,page,Sales,app/(app)/billing/quotes/[id]/page.tsx,Review record detail,-,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Sales quotes reuse billing quote page files. Sales route is backed by billing quote detail page file.
internal,billing_manager|shop_manager|admin,/billing/quotes,redirect,Billing,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Legacy billing quote alias redirecting into /sales/quotes. Navigate(to=/sales/quotes)
internal,billing_manager|shop_manager|admin,/billing/quotes/new,redirect,Billing,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Legacy billing quote creation alias redirecting into /sales/quotes/new. Navigate(to=/sales/quotes/new)
internal,billing_manager|shop_manager|admin,/billing/quotes/templates,redirect,Billing,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Legacy billing quote template alias redirecting into /sales/quotes/templates; backing page file lives under billing. Navigate(to=/sales/quotes/templates)
internal,billing_manager|shop_manager|admin,/billing/quotes/:id,page,Billing,src/router/routeModules/protectedAppRoutes.tsx,Review record detail,-,-,-,live_route,Legacy billing quote detail alias that normalizes to /sales/quotes/:id.
internal,billing_manager|shop_manager|admin,/billing/purchase-orders,page,Billing,app/(app)/billing/purchase-orders/page.tsx,Manage purchase orders,billing|vendors,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/purchase-orders/new,page,Billing,app/(app)/billing/purchase-orders/new/page.tsx,Operate billing workflow,billing|vendors,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/purchase-orders/:id,page,Billing,app/(app)/billing/purchase-orders/[id]/page.tsx,Review record detail,billing|billingV4b,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/vendors,page,Billing,app/(app)/billing/vendors/page.tsx,Manage vendor records,vendors,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/vendors/new,page,Billing,app/(app)/billing/vendors/new/page.tsx,Operate billing workflow,vendors,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/vendors/:id,page,Billing,app/(app)/billing/vendors/[id]/page.tsx,Review record detail,billing|vendors,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/ar-dashboard,page,Billing,app/(app)/billing/ar-dashboard/page.tsx,Review accounts receivable exposure,billingV4,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/analytics,page,Billing,app/(app)/billing/analytics/page.tsx,Review billing analytics,billing|customers,-,Sales,live_route,-
internal,billing_manager|shop_manager|admin,/billing/pricing,page,Billing,app/(app)/billing/pricing/page.tsx,Manage pricing profiles and rules,customers|pricing,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/time-clock,page,Billing,app/(app)/billing/time-clock/page.tsx,Review shop-wide labor capture,taskCards|technicians|timeClock|workOrders,Personnel|Time Tracking|Work Orders,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/time-approval,page,Billing,app/(app)/billing/time-approval/page.tsx,Approve technician time entries,billingV4|billingV4b|technicians|workOrders,Personnel|Work Orders,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/deposits,page,Billing,app/(app)/billing/deposits/page.tsx,Manage customer deposits,billing|billingV4|billingV4b,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/credit-memos,page,Billing,app/(app)/billing/credit-memos/page.tsx,Manage credit memos,billing|billingV4,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/recurring,page,Billing,app/(app)/billing/recurring/page.tsx,Manage recurring billing templates,billingV4|billingV4b,-,Onboarding|Personnel,live_route,-
internal,billing_manager|shop_manager|admin,/billing/tax-config,page,Billing,app/(app)/billing/tax-config/page.tsx,Manage tax configuration,billingV4,-,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/settings,page,Billing,app/(app)/billing/settings/page.tsx,Manage billing settings,billingV4b|currency|shopSettings,Settings,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/customer-requests,page,Billing,app/(app)/billing/customer-requests/page.tsx,Triage customer portal requests,customerPortal,Customer Portal,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,billing_manager|shop_manager|admin,/billing/otc,page,Billing,app/(app)/billing/otc/page.tsx,Run over-the-counter sales,billingV4|otcSales|parts,Parts,-,live_route,-
internal,billing_manager|shop_manager|admin,/billing/warranty,page,Billing,app/(app)/billing/warranty/page.tsx,Manage warranty claims,warranty,-,Onboarding,live_route,-
internal,billing_manager|shop_manager|admin,/billing/labor-kits,page,Billing,app/(app)/billing/labor-kits/page.tsx,Manage labor kits,laborKits,-,-,live_route,-
internal,sales_rep|sales_manager|billing_manager|admin,/crm,redirect,CRM,src/router/routeModules/protectedAppRoutes.tsx,Normalize legacy or convenience entry point,-,-,-,live_redirect,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Navigate(to=/crm/dashboard)
internal,sales_rep|sales_manager|billing_manager|admin,/crm/dashboard,page,CRM,app/(app)/crm/dashboard/page.tsx,Review CRM dashboard,crm,-,Billing|Sales,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/accounts,page,CRM,app/(app)/crm/accounts/page.tsx,Manage CRM accounts,crm,-,Billing,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/accounts/:id,page,CRM,app/(app)/crm/accounts/[id]/page.tsx,Review CRM account detail,billingV4|crm,Billing,Billing|Fleet|Sales|Work Orders,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/prospects/intelligence,page,CRM,app/(app)/crm/prospects/intelligence/page.tsx,Assess prospect intelligence,crmProspects,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/prospects/intelligence/:prospectId,page,CRM,app/(app)/crm/prospects/intelligence/page.tsx,Operate crm workflow,crmProspects,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/contacts,page,CRM,app/(app)/crm/contacts/page.tsx,Manage CRM contacts,billingV4|crm,Billing,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/interactions,page,CRM,app/(app)/crm/interactions/page.tsx,Log and review interactions,billingV4|crm,Billing,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/pipeline,page,CRM,app/(app)/crm/pipeline/page.tsx,Manage pipeline and opportunity flow,aircraft|billingV4|crm|customers|predictions|workOrders,Billing|Fleet|Work Orders,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,sales_rep|sales_manager|billing_manager|admin,/crm/analytics,page,CRM,app/(app)/crm/analytics/page.tsx,Review CRM analytics,crm,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|admin,/scheduling,page,Scheduling,app/(app)/scheduling/page.tsx,Operate master scheduling board,capacity|hangarBays|roles|scheduleSnapshots|schedulerPlanning|schedulerRoster|shopLocations|stationConfig|tatEstimation|technicianTraining|workOrders,Personnel|Settings|Work Orders,Dashboard|Onboarding|Work Orders,live_route,-
