mbp_id,canonical_group_id,title,normalized_requirement,source_pack,source_id,source_file,status,priority,wave,owner_lane,dependencies,acceptance_criteria,test_gate,notes
"MBP-0011","GRP-021","AD/SB dynamic due logic","Deterministic due-state engine","REPORT","RPT-011","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave0","platform","[]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Discussed and prototyped; source_dependencies=Regulatory data ingestion; risks=Compliance liability; evidence=E28,E29"
"MBP-0012","GRP-017","Logbook entry generation","Automated draft entries per work stage","REPORT","RPT-012","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave1","compliance","[""GRP-001"", ""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","current=Workflow target defined; source_dependencies=Rules engine; risks=Incorrect legal wording; evidence=E30"
"MBP-0013","GRP-017","Logbook scanning + OCR ingestion","Searchable full maintenance history","REPORT","RPT-013","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","missing","P0","Wave1","compliance","[""GRP-001"", ""GRP-002"", ""GRP-003""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","current=“no good answers” in transcript; source_dependencies=OCR pipeline, parsing; risks=Data quality + legal issues; evidence=E30,E17"
"MBP-0014","GRP-003","Work order assignment (My Work)","Assign, track, and complete task workflows","REPORT","RPT-014","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","missing","P0","Wave1","workflow","[""GRP-001"", ""GRP-002""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Not fully built; source_dependencies=Task model, role model; risks=Execution confusion; evidence=E32"
"MBP-0015","GRP-003","Clock-in / labor tracking","Integrated labor capture","REPORT","RPT-015","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","missing","P0","Wave1","workflow","[""GRP-001"", ""GRP-002""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Explicitly absent in current area; source_dependencies=Time service integration; risks=KPI gaming; evidence=E32,E33"
"MBP-0016","GRP-014","Cross-module data bus","Stable event-driven integration","REPORT","RPT-016","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave5","platform","[""GRP-003"", ""GRP-006"", ""GRP-018""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Connective tissue underway; source_dependencies=Schema governance; risks=Hard-to-debug coupling; evidence=E25"
"MBP-0017","GRP-001","Role-based access control (RBAC)","Role-scoped views and permissions","REPORT","RPT-017","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","missing","P0","Wave0","compliance","[]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","current=Overexposed unified view; source_dependencies=Auth model, policy matrix; risks=Security/compliance risk; evidence=E39,E31"
"MBP-0018","GRP-002","Override reason logging","Required reason + immutable audit","REPORT","RPT-018","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave0","compliance","[""GRP-001""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","current=Concept discussed; source_dependencies=Role control, audit log; risks=Weak accountability; evidence=E31,E39"
"MBP-0019","GRP-015","Customer portal & history","Full lifecycle visibility + communications","REPORT","RPT-019","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave4","product","[""GRP-003"", ""GRP-014""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Basic concept and partial implementation; source_dependencies=CRM model, notifications; risks=Trust erosion if inaccurate; evidence=E40"
"MBP-0020","GRP-007","Inventory control + Kanban","End-to-end consumables planning + forecasting","REPORT","RPT-020","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave2","workflow","[""GRP-006""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","current=Tool crib and some flows exist; source_dependencies=Inventory backbone; risks=Cost leakage; evidence=E35,E32"
"MBP-0021","GRP-007","Inventory master tab","Complete searchable inventory state","REPORT","RPT-021","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","missing","P0","Wave2","workflow","[""GRP-006""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","current=Explicitly absent; source_dependencies=Data model completion; risks=Blind spots in purchasing; evidence=E32"
"MBP-0022","GRP-006","Rotables lifecycle tracking","Full install/remove/disposition lifecycle","REPORT","RPT-022","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave2","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","current=Serviceable/shop/vendor states shown; source_dependencies=Part traceability; risks=Compliance gaps; evidence=E35"
"MBP-0023","GRP-007","Tool calibration workflows","Reliable calibration control","REPORT","RPT-023","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave2","workflow","[""GRP-006""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","current=Due-calibration concepts surfaced; source_dependencies=Tool master data; risks=Overdue tooling risk; evidence=E35"
"MBP-0024","GRP-018","QuickBooks integration","Bi-directional finance sync with controls","REPORT","RPT-024","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave3","product","[""GRP-003"", ""GRP-014""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Integration points shown; source_dependencies=API and accounting mapping; risks=Financial mis-posting; evidence=E40"
"MBP-0025","GRP-016","Training compliance records","Full requirements and completion workflows","REPORT","RPT-025","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave3","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Minimal training requirement shown; source_dependencies=Training schema; risks=Incomplete compliance evidence; evidence=E27,E32; ctx_seed=ICS-001/corpus=industry-context-field-artifacts/doc=OJT Data Flow.pdf/feature=16/conf=high/date=2026-03-03"
"MBP-0026","GRP-013","FAA profile/aircraft enrichment","Verified and normalized external profile ingestion","REPORT","RPT-026","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave5","data","[""GRP-012"", ""GRP-017""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","current=Live FAA scrape demo; source_dependencies=Data validation; risks=Incorrect owner/engine data; evidence=E28"
"MBP-0027","GRP-020","Market-level quote benchmark engine","Labeled benchmark service","REPORT","RPT-027","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave6","data","[""GRP-013"", ""GRP-018""]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Conceptual “common quote book”; source_dependencies=Large clean dataset; risks=False confidence, liability; evidence=E18"
"MBP-0028","GRP-019","Talent marketplace matching","Profile-to-role matching with confidence score","REPORT","RPT-028","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave6","product","[""GRP-015"", ""GRP-016""]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Strategy discussions; source_dependencies=Identity, profile quality; risks=Focus dilution; evidence=E10,E36,E38"
"MBP-0029","GRP-017","Industry certification framework","Formalized cert pathways + audit loop","REPORT","RPT-029","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave1","compliance","[""GRP-001"", ""GRP-002"", ""GRP-003""]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","current=New standards ideated; source_dependencies=Standards governance; risks=Credibility risk; evidence=E12,E13"
"MBP-0030","GRP-010","Multi-location UX: Map-based selection when creating a new work location.","Map-based selection when creating a new work location.","FR","FR-001","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","missing","P1","Wave4","ux","[""GRP-003""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-009/corpus=industry-context-field-artifacts/doc=Repair Station Contacts with Ratings (Download).xlsx/feature=17/conf=high/date=2026-03-03"
"MBP-0031","GRP-013","Telemetry + predictive: Ingest ADS-B movement data for tracked aircraft and estimate time/cycl","Ingest ADS-B movement data for tracked aircraft and estimate time/cycles from last known baseline to shift scheduling and predictive maintenance.","FR","FR-002","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","missing","P1","Wave5","data","[""GRP-012"", ""GRP-017""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0032","GRP-017","WO docs + compliance: Separate compliance docs at task/subtask level from overall WO attachm","Separate compliance docs at task/subtask level from overall WO attachments; add task/subtask manual references (PDF/link/file), in-app PDF viewer, and download.","FR","FR-003","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave1","compliance","[""GRP-001"", ""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include negative-permission and audit-trace checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0033","GRP-005","Task execution + signoff: Add vendor service add flow inside task items; discrepancy + correctiv","Add vendor service add flow inside task items; discrepancy + corrective action fields with immutable history; enforce technician signoff and independent inspector/RIII signoff via privileges and training compliance gates; add admin role capability matrix.","FR","FR-004","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave1","compliance","[""GRP-001"", ""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0034","GRP-009","Time visibility: Show estimated task hours vs actual time logged to discrepancy/squawk.","Show estimated task hours vs actual time logged to discrepancy/squawk.","FR","FR-005","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave1","product","[""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0035","GRP-006","Task-level parts traceability: Add Parts Removed/Parts Installed per task with full part metadata, ro","Add Parts Removed/Parts Installed per task with full part metadata, rotable/consumable support, compliance docs access, and lot-level chain of custody history.","FR","FR-006","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave2","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0036","GRP-006","WO parts lifecycle board: In WO Parts tab, show requested/ordered/received/used-installed lifecy","In WO Parts tab, show requested/ordered/received/used-installed lifecycle and link each part to associated SWAC/squawk.","FR","FR-007","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave2","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0037","GRP-006","Parts request intake control: Part add flow should prefill from catalog; allow provisional net-new p","Part add flow should prefill from catalog; allow provisional net-new part requests routed to parts clerk acceptance/edit queue before permanent catalog entry.","FR","FR-008","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","missing","P0","Wave2","workflow","[""GRP-001"", ""GRP-002""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0038","GRP-006","Parts status labels: Color status semantics: requested-not-ordered (red), ordered-not-recei","Color status semantics: requested-not-ordered (red), ordered-not-received (yellow), received-not-installed (purple), installed (green), returned-to-stock (orange).","FR","FR-009","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave2","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0039","GRP-003","WO lifecycle timeline: Show timeline stage chips/circles on every WO: Quoting, In-dock, Inspe","Show timeline stage chips/circles on every WO: Quoting, In-dock, Inspection, Repair, Return to Service, Review & Improvement.","FR","FR-010","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","implemented","P1","Wave1","workflow","[""GRP-001"", ""GRP-002""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0040","GRP-008","Turnover notes + AI assist: Dated turnover notes at task level and a lead turnover workspace that","Dated turnover notes at task level and a lead turnover workspace that aggregates in-work WOs from clocked activity/recents, with AI draft summary editable by lead and preserved in history.","FR","FR-011","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave3","workflow","[""GRP-003"", ""GRP-009""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0041","GRP-008","Lead technician workspace: New lead page for assignment/management, team insights, and assigning","New lead page for assignment/management, team insights, and assigning WOs/tasks/subtasks to teams/individuals with bidirectional status reporting into lead and turnover views.","FR","FR-012","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave3","workflow","[""GRP-003"", ""GRP-009""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0042","GRP-008","Turnover report contract: Generate/save PDF turnover reports; immutable after submit; signature","Generate/save PDF turnover reports; immutable after submit; signature and audit trail; include time totals, per-person/team breakdowns, graphs, deadlines, parts ordered/received, and lead notes.","FR","FR-013","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave3","workflow","[""GRP-003"", ""GRP-009""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0043","GRP-010","Fleet filtering + view modes: Fleet filters for in-work and future schedule windows (3/6/12 months),","Fleet filters for in-work and future schedule windows (3/6/12 months), plus list/tile/truncated modes and classification by class/type/make/model.","FR","FR-014","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","implemented","P1","Wave4","ux","[""GRP-003""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-009/corpus=industry-context-field-artifacts/doc=Repair Station Contacts with Ratings (Download).xlsx/feature=17/conf=high/date=2026-03-03"
"MBP-0044","GRP-010","WO list modes + aircraft media linkage: Work Orders list supports current/tile/truncated views and aircraft th","Work Orders list supports current/tile/truncated views and aircraft thumbnails linked to Fleet featured image + gallery/carousel.","FR","FR-015","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","implemented","P1","Wave4","ux","[""GRP-003""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0045","GRP-011","In-dock + RTS evidence hub: Add dedicated in-dock and return-to-service areas with checklist uploa","Add dedicated in-dock and return-to-service areas with checklist uploads, digital checklist templates, incoming inspection and RTS liability video upload/view/download, mobile-friendly (10-20 min videos, multiple files, auto naming).","FR","FR-016","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave4","platform","[""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0046","GRP-010","WO search by location: Search modal supports all locations or specific location filter.","Search modal supports all locations or specific location filter.","FR","FR-017","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","implemented","P1","Wave0","ux","[""GRP-003""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-010/corpus=industry-context-field-artifacts/doc=Repair Station Contacts with Ratings (Download).xlsx/feature=25/conf=high/date=2026-03-03"
"MBP-0047","GRP-012","WO Gantt + smart assignment: Add Gantt view with dependencies, phase-tag population, lead assignmen","Add Gantt view with dependencies, phase-tag population, lead assignment controls, and foundation for automated assignment based on actuals/performance (PMBOK-aligned).","FR","FR-018","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P1","Wave5","workflow","[""GRP-003"", ""GRP-009""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-002/corpus=industry-context-field-artifacts/doc=2023 leveling.pdf/feature=13/conf=high/date=2026-03-03"
"MBP-0048","GRP-006","Part return-to-parts workflow: From task/subtask, technician can return part to Parts with prefilled","From task/subtask, technician can return part to Parts with prefilled return info; parts dept confirms receipt and re-stocks only after receiving inspection.","FR","FR-019","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","missing","P1","Wave2","workflow","[""GRP-001"", ""GRP-002""]","Feature is implemented end-to-end with role, audit, and data-integrity controls where required.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0049","GRP-006","Receiving inspection workflow: Add receiving checklists per part/PO/batch, role-gated completion by p","Add receiving checklists per part/PO/batch, role-gated completion by parts clerk capability, digital ownership trail, conformity doc uploads (8130/EASA/etc), mobile photo capture, batch PDF download.","FR","FR-020","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave2","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include chain-of-custody and state-transition checks.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md"
"MBP-0050","GRP-009","WO dashboard page: Add `work-orders/dashboard` with active WO KPI, WIP (estimated vs actu","Add `work-orders/dashboard` with active WO KPI, WIP (estimated vs actual hours), and countdown to RTS date.","FR","FR-021","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","implemented","P1","Wave3","product","[""GRP-002"", ""GRP-003""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-005/corpus=industry-context-field-artifacts/doc=Tech capacity and training report BJC Jan 2023 1.2 (1).pdf/feature=26/conf=high/date=2026-03-03"
"MBP-0051","GRP-009","WO header KPI + date commitments: Per-WO KPI summary at top (WIP/estimated/applied), prominent committed","Per-WO KPI summary at top (WIP/estimated/applied), prominent committed RTS date, and controlled post-inspection out-date update flow.","FR","FR-022","athelon-app/docs/plans/2026-03-03-feature-intake-wave-roadmap.md","partial","P0","Wave1","product","[""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","status provenance: athelon-app/docs/plans/2026-03-03-feature-intake-implementation-review.md; ctx_seed=ICS-005/corpus=industry-context-field-artifacts/doc=Tech capacity and training report BJC Jan 2023 1.2 (1).pdf/feature=26/conf=high/date=2026-03-03"
